n,method,workers,seconds,baseline_seconds,time_multiple
1000,gd,1,0.8548723339335993,0.8548723339335993,1.0
1000,gd,4,0.23531483300030231,0.23531483300030231,1.0
1000,gd,12,0.09711408300790936,0.09711408300790936,1.0
1000,quantlet,1,6.206670874962583,6.206670874962583,1.0
3111,gd,1,8.973392333951779,0.8548723339335993,10.496763057779305
3111,gd,4,2.3937209169380367,0.23531483300030231,10.172418314722053
3111,gd,12,0.8124149170471355,0.09711408300790936,8.365572653154427
3111,quantlet,1,46.20222133398056,6.206670874962583,7.443961870180379
5222,gd,1,23.474014917039312,0.8548723339335993,27.45908831676218
5222,gd,4,6.435671875020489,0.23531483300030231,27.349197638604537
5222,gd,12,2.255764291039668,0.09711408300790936,23.22798322521307
5222,quantlet,1,116.858174999943,6.206670874962583,18.82783497854596
7333,gd,1,46.70302570902277,0.8548723339335993,54.63157930743182
7333,gd,4,12.603869374957867,0.23531483300030231,53.56172925546803
7333,gd,12,4.294839874957688,0.09711408300790936,44.22468649174085
7333,quantlet,1,216.71196062501986,6.206670874962583,34.91597427845347
9444,gd,1,77.01196254207753,0.8548723339335993,90.0859221723969
9444,gd,4,20.791738374973647,0.23531483300030231,88.35710911154902
9444,gd,12,7.129295291961171,0.09711408300790936,73.41154929486935
9444,quantlet,1,350.210133458022,6.206670874962583,56.42479527483133
11556,gd,1,116.34364279091824,0.8548723339335993,136.09475727864066
11556,gd,4,31.013353541027755,0.23531483300030231,131.795149271308
11556,gd,12,10.677280458039604,0.09711408300790936,109.94574759224163
11556,quantlet,1,511.2201792499982,6.206670874962583,82.36624585850625
13667,gd,1,161.06106625008397,0.8548723339335993,188.40364795639076
13667,gd,4,43.79690558288712,0.23531483300030231,186.12046263497064
13667,gd,12,14.761382499942556,0.09711408300790936,152.0004312736015
13667,quantlet,1,714.9435248749796,6.206670874962583,115.18953385445779
15778,gd,1,208.94282083399594,0.8548723339335993,244.41406341057845
15778,gd,4,57.41369629104156,0.23531483300030231,243.98672858403194
15778,gd,12,19.89148925000336,0.09711408300790936,204.82600086316336
17889,gd,1,286.31474487495143,0.8548723339335993,334.92105605699766
17889,gd,4,77.81038612499833,0.23531483300030231,330.66502919898113
17889,gd,12,26.485463583958335,0.09711408300790936,272.725260473306
20000,gd,1,348.8132649589097,0.8548723339335993,408.0296567253318
20000,gd,4,95.48539933306165,0.23531483300030231,405.777222436883
20000,gd,12,32.63467583293095,0.09711408300790936,336.0447303021237
