n,method,workers,seconds,stage_count,unconverged_chunks,max_component_difference_from_scalar,max_component_difference_from_single_thread
1000,gd,1,0.8548723339335993,9,0,9.103396476257963e-07,0.0
1000,gd,4,0.23531483300030231,9,0,9.103396476257963e-07,5.565493269577004e-07
1000,gd,12,0.09711408300790936,9,0,9.103396476257963e-07,5.225452699986199e-07
1000,quantlet,1,6.206670874962583,9,0,0.0,0.0
3111,gd,1,8.973392333951779,13,0,6.947214250645206e-07,0.0
3111,gd,4,2.3937209169380367,13,0,6.947214250645206e-07,4.743033381743311e-07
3111,gd,12,0.8124149170471355,13,0,7.358770737764253e-07,5.065942652593414e-07
3111,quantlet,1,46.20222133398056,13,0,0.0,0.0
5222,gd,1,23.474014917039312,14,0,1.1400487000025328e-06,0.0
5222,gd,4,6.435671875020489,14,0,1.1400487000025328e-06,3.5967631802080735e-07
5222,gd,12,2.255764291039668,14,0,7.165375338069602e-07,5.268264807985548e-07
5222,quantlet,1,116.858174999943,14,0,0.0,0.0
7333,gd,1,46.70302570902277,15,0,1.0066137252039142e-06,0.0
7333,gd,4,12.603869374957867,15,0,1.0066137252039142e-06,6.928295878810831e-07
7333,gd,12,4.294839874957688,15,0,1.1049462317613834e-06,7.714851224804864e-07
7333,quantlet,1,216.71196062501986,15,0,0.0,0.0
9444,gd,1,77.01196254207753,16,0,8.805090013341149e-07,0.0
9444,gd,4,20.791738374973647,16,0,8.805090013341149e-07,6.132043337964133e-07
9444,gd,12,7.129295291961171,16,0,9.98723326206541e-07,7.194131197846287e-07
9444,quantlet,1,350.210133458022,16,0,0.0,0.0
11556,gd,1,116.34364279091824,16,0,9.449052607406194e-07,0.0
11556,gd,4,31.013353541027755,16,0,9.449052607406194e-07,7.144426777405677e-07
11556,gd,12,10.677280458039604,16,0,1.0623146523003335e-06,7.696362851056238e-07
11556,quantlet,1,511.2201792499982,16,0,0.0,0.0
13667,gd,1,161.06106625008397,17,0,9.09985984280659e-07,0.0
13667,gd,4,43.79690558288712,17,0,9.238804964256664e-07,6.396863931196206e-07
13667,gd,12,14.761382499942556,17,0,1.0251798489152586e-06,6.93067176774087e-07
13667,quantlet,1,714.9435248749796,17,0,0.0,0.0
15778,gd,1,208.94282083399594,17,0,,0.0
15778,gd,4,57.41369629104156,17,0,,3.6296281741461656e-07
15778,gd,12,19.89148925000336,17,0,,7.278018625961336e-07
17889,gd,1,286.31474487495143,18,0,,0.0
17889,gd,4,77.81038612499833,18,0,,4.0683104581343277e-07
17889,gd,12,26.485463583958335,18,0,,7.631839999133749e-07
20000,gd,1,348.8132649589097,18,0,,0.0
20000,gd,4,95.48539933306165,18,0,,7.375875897275286e-07
20000,gd,12,32.63467583293095,18,0,,7.412317072630348e-07
