model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,mean_rmse
additive,linear,0.2,0.2,0.4,2,0,0.0155233871922
additive,linear,0.2,0.2,0.4,2,1,0.0151509472253
additive,linear,0.2,0.2,0.4,2,2,0.0148505383547
additive,linear,0.2,0.2,0.8,4,0,0.0258819451728
additive,linear,0.2,0.2,0.8,4,1,0.026548670233
additive,linear,0.2,0.2,0.8,4,2,0.0250809801999
additive,linear,0.2,0.2,1.2,6,0,0.0370922438941
additive,linear,0.2,0.2,1.2,6,1,0.0387582893144
additive,linear,0.2,0.2,1.2,6,2,0.0362501430932
additive,linear,0.2,0.2,1.6,8,0,0.0485669756986
additive,linear,0.2,0.2,1.6,8,1,0.0512000859923
additive,linear,0.2,0.2,1.6,8,2,0.047704441066
additive,linear,0.2,0.2,2,10,0,0.0601549630368
additive,linear,0.2,0.2,2,10,1,0.0637380660376
additive,linear,0.2,0.2,2,10,2,0.059280432774
additive,linear,0.2,0.2,2.4,12,0,0.0718014085268
additive,linear,0.2,0.2,2.4,12,1,0.0763248256705
additive,linear,0.2,0.2,2.4,12,2,0.0709192696277
additive,robust,0.2,0.2,0.4,2,0,0.0122678312789
additive,robust,0.2,0.2,0.4,2,1,0.0132484293669
additive,robust,0.2,0.2,0.4,2,2,0.0121648261096
additive,robust,0.2,0.2,0.8,4,0,0.01393926485
additive,robust,0.2,0.2,0.8,4,1,0.0161299584295
additive,robust,0.2,0.2,0.8,4,2,0.0145712182913
additive,robust,0.2,0.2,1.2,6,0,0.0148634715582
additive,robust,0.2,0.2,1.2,6,1,0.0175320623937
additive,robust,0.2,0.2,1.2,6,2,0.0158951518718
additive,robust,0.2,0.2,1.6,8,0,0.0155144513654
additive,robust,0.2,0.2,1.6,8,1,0.0182396827323
additive,robust,0.2,0.2,1.6,8,2,0.0168287670549
additive,robust,0.2,0.2,2,10,0,0.015973821209
additive,robust,0.2,0.2,2,10,1,0.018677065539
additive,robust,0.2,0.2,2,10,2,0.0176028911814
additive,robust,0.2,0.2,2.4,12,0,0.0163081817249
additive,robust,0.2,0.2,2.4,12,1,0.019002580478
additive,robust,0.2,0.2,2.4,12,2,0.018241952523
masked,linear,0.2,0.2,0.4,2,0,0.0260332372771
masked,linear,0.2,0.2,0.4,2,1,0.0248292700613
masked,linear,0.2,0.2,0.4,2,2,0.0221575278885
masked,linear,0.2,0.2,0.8,4,0,0.0342803695537
masked,linear,0.2,0.2,0.8,4,1,0.0341644636381
masked,linear,0.2,0.2,0.8,4,2,0.0299511816873
masked,linear,0.2,0.2,1.2,6,0,0.0440501545107
masked,linear,0.2,0.2,1.2,6,1,0.0451529566221
masked,linear,0.2,0.2,1.2,6,2,0.0396000922398
masked,linear,0.2,0.2,1.6,8,0,0.0545406371454
masked,linear,0.2,0.2,1.6,8,1,0.0568253796721
masked,linear,0.2,0.2,1.6,8,2,0.0500793069508
masked,linear,0.2,0.2,2,10,0,0.0654275525564
masked,linear,0.2,0.2,2,10,1,0.0688390977797
masked,linear,0.2,0.2,2,10,2,0.0609963725631
masked,linear,0.2,0.2,2.4,12,0,0.0765548126085
masked,linear,0.2,0.2,2.4,12,1,0.0810459480971
masked,linear,0.2,0.2,2.4,12,2,0.0721681725756
masked,robust,0.2,0.2,0.4,2,0,0.0191946150248
masked,robust,0.2,0.2,0.4,2,1,0.019805244649
masked,robust,0.2,0.2,0.4,2,2,0.0177039821291
masked,robust,0.2,0.2,0.8,4,0,0.0176402456629
masked,robust,0.2,0.2,0.8,4,1,0.0197889296474
masked,robust,0.2,0.2,0.8,4,2,0.0167057458037
masked,robust,0.2,0.2,1.2,6,0,0.0169509691772
masked,robust,0.2,0.2,1.2,6,1,0.0199310470971
masked,robust,0.2,0.2,1.2,6,2,0.016427139697
masked,robust,0.2,0.2,1.6,8,0,0.0167297167705
masked,robust,0.2,0.2,1.6,8,1,0.0201342079972
masked,robust,0.2,0.2,1.6,8,2,0.016624436697
masked,robust,0.2,0.2,2,10,0,0.0167583284786
masked,robust,0.2,0.2,2,10,1,0.0202502545455
masked,robust,0.2,0.2,2,10,2,0.0170482324511
masked,robust,0.2,0.2,2.4,12,0,0.0169049535498
masked,robust,0.2,0.2,2.4,12,1,0.0202912394896
masked,robust,0.2,0.2,2.4,12,2,0.0175165561018
