model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,stage,window_size,rmse
additive,linear,0.2,0.2,0.4,2,0,1,501,0.0150026763962
additive,linear,0.2,0.2,0.4,2,0,2,355,0.0111581710596
additive,linear,0.2,0.2,0.4,2,0,3,251,0.0104593171402
additive,linear,0.2,0.2,0.4,2,0,4,177,0.0103286976912
additive,linear,0.2,0.2,0.4,2,0,5,125,0.0146512135335
additive,linear,0.2,0.2,0.4,2,0,6,89,0.0169810193267
additive,linear,0.2,0.2,0.4,2,0,7,63,0.0171958848445
additive,linear,0.2,0.2,0.4,2,0,8,45,0.0192109322498
additive,linear,0.2,0.2,0.4,2,0,9,31,0.0247225724884
additive,robust,0.2,0.2,0.4,2,0,1,501,0.011339949381
additive,robust,0.2,0.2,0.4,2,0,2,355,0.00801255764816
additive,robust,0.2,0.2,0.4,2,0,3,251,0.00896756854383
additive,robust,0.2,0.2,0.4,2,0,4,177,0.00832709419633
additive,robust,0.2,0.2,0.4,2,0,5,125,0.0110110952238
additive,robust,0.2,0.2,0.4,2,0,6,89,0.0130994342513
additive,robust,0.2,0.2,0.4,2,0,7,63,0.0136544716916
additive,robust,0.2,0.2,0.4,2,0,8,45,0.0155833286834
additive,robust,0.2,0.2,0.4,2,0,9,31,0.0204149818908
additive,linear,0.2,0.2,0.4,2,1,1,501,0.00999169438576
additive,linear,0.2,0.2,0.4,2,1,2,355,0.00871463546392
additive,linear,0.2,0.2,0.4,2,1,3,251,0.0110436685816
additive,linear,0.2,0.2,0.4,2,1,4,177,0.0120805757869
additive,linear,0.2,0.2,0.4,2,1,5,125,0.0141386745689
additive,linear,0.2,0.2,0.4,2,1,6,89,0.0153206956623
additive,linear,0.2,0.2,0.4,2,1,7,63,0.0178546305652
additive,linear,0.2,0.2,0.4,2,1,8,45,0.0211832048631
additive,linear,0.2,0.2,0.4,2,1,9,31,0.0260307451501
additive,robust,0.2,0.2,0.4,2,1,1,501,0.0125079326472
additive,robust,0.2,0.2,0.4,2,1,2,355,0.00796728718584
additive,robust,0.2,0.2,0.4,2,1,3,251,0.00981752000296
additive,robust,0.2,0.2,0.4,2,1,4,177,0.0103007087392
additive,robust,0.2,0.2,0.4,2,1,5,125,0.0119833041214
additive,robust,0.2,0.2,0.4,2,1,6,89,0.0129312681275
additive,robust,0.2,0.2,0.4,2,1,7,63,0.0146694400329
additive,robust,0.2,0.2,0.4,2,1,8,45,0.0175175238529
additive,robust,0.2,0.2,0.4,2,1,9,31,0.0215408795923
additive,linear,0.2,0.2,0.4,2,2,1,501,0.0231659166237
additive,linear,0.2,0.2,0.4,2,2,2,355,0.00845969659603
additive,linear,0.2,0.2,0.4,2,2,3,251,0.00929233170837
additive,linear,0.2,0.2,0.4,2,2,4,177,0.00964629062086
additive,linear,0.2,0.2,0.4,2,2,5,125,0.0108630273963
