model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,mean_rmse
additive,linear,0.4,0.1,1,2.5,0,0.0320667683536
additive,linear,0.4,0.1,1,2.5,1,0.0283703562532
additive,linear,0.4,0.1,1,2.5,2,0.0252600453838
additive,linear,0.4,0.1,1.5,3.75,0,0.0422562390443
additive,linear,0.4,0.1,1.5,3.75,1,0.0379387744346
additive,linear,0.4,0.1,1.5,3.75,2,0.0320046452623
additive,linear,0.4,0.1,2,5,0,0.0531414547871
additive,linear,0.4,0.1,2,5,1,0.0482711892524
additive,linear,0.4,0.1,2,5,2,0.0397094767618
additive,linear,0.4,0.1,2.5,6.25,0,0.0643704025648
additive,linear,0.4,0.1,2.5,6.25,1,0.0589668096407
additive,linear,0.4,0.1,2.5,6.25,2,0.0479254796053
additive,linear,0.4,0.1,3,7.5,0,0.0757907550911
additive,linear,0.4,0.1,3,7.5,1,0.0698592888599
additive,linear,0.4,0.1,3,7.5,2,0.0564368476066
additive,linear,0.4,0.15,1,2.5,0,0.0326202647058
additive,linear,0.4,0.15,1,2.5,1,0.0299712449605
additive,linear,0.4,0.15,1,2.5,2,0.02976786717
additive,linear,0.4,0.15,1.5,3.75,0,0.0433743603049
additive,linear,0.4,0.15,1.5,3.75,1,0.0409538371782
additive,linear,0.4,0.15,1.5,3.75,2,0.0392785450675
additive,linear,0.4,0.15,2,5,0,0.0548420110979
additive,linear,0.4,0.15,2,5,1,0.0527064946379
additive,linear,0.4,0.15,2,5,2,0.0496141238334
additive,linear,0.4,0.15,2.5,6.25,0,0.0666551179802
additive,linear,0.4,0.15,2.5,6.25,1,0.0648091709302
additive,linear,0.4,0.15,2.5,6.25,2,0.0603695046667
additive,linear,0.4,0.15,3,7.5,0,0.078658208905
additive,linear,0.4,0.15,3,7.5,1,0.0770967281838
additive,linear,0.4,0.15,3,7.5,2,0.0713666892229
additive,linear,0.4,0.2,1,2.5,0,0.0359001139397
additive,linear,0.4,0.2,1,2.5,1,0.0356723717015
additive,linear,0.4,0.2,1,2.5,2,0.0344504752925
additive,linear,0.4,0.2,1.5,3.75,0,0.0490349133197
additive,linear,0.4,0.2,1.5,3.75,1,0.0501117312448
additive,linear,0.4,0.2,1.5,3.75,2,0.0474495756945
additive,linear,0.4,0.2,2,5,0,0.0628723699754
additive,linear,0.4,0.2,2,5,1,0.0652159743599
additive,linear,0.4,0.2,2,5,2,0.0612209956555
additive,linear,0.4,0.2,2.5,6.25,0,0.077033845603
additive,linear,0.4,0.2,2.5,6.25,1,0.0806103976811
additive,linear,0.4,0.2,2.5,6.25,2,0.0753430846208
additive,linear,0.4,0.2,3,7.5,0,0.0913686556463
additive,linear,0.4,0.2,3,7.5,1,0.0961553804398
additive,linear,0.4,0.2,3,7.5,2,0.0896517185177
additive,linear,0.4,0.25,1,2.5,0,0.0382696266199
additive,linear,0.4,0.25,1,2.5,1,0.0389275330873
additive,linear,0.4,0.25,1,2.5,2,0.037861139321
additive,linear,0.4,0.25,1.5,3.75,0,0.0529227434668
additive,linear,0.4,0.25,1.5,3.75,1,0.0551954922821
additive,linear,0.4,0.25,1.5,3.75,2,0.0525737613178
additive,linear,0.4,0.25,2,5,0,0.0682600937763
additive,linear,0.4,0.25,2,5,1,0.0720810483492
additive,linear,0.4,0.25,2,5,2,0.0679555789487
additive,linear,0.4,0.25,2.5,6.25,0,0.0839049516012
additive,linear,0.4,0.25,2.5,6.25,1,0.0892347236473
additive,linear,0.4,0.25,2.5,6.25,2,0.0836452810329
additive,linear,0.4,0.25,3,7.5,0,0.0997119921488
additive,linear,0.4,0.25,3,7.5,1,0.106527301648
additive,linear,0.4,0.25,3,7.5,2,0.0995026209741
additive,linear,0.4,0.3,1,2.5,0,0.0416361359956
additive,linear,0.4,0.3,1,2.5,1,0.0420923355352
additive,linear,0.4,0.3,1,2.5,2,0.043370292447
additive,linear,0.4,0.3,1.5,3.75,0,0.0579479680558
additive,linear,0.4,0.3,1.5,3.75,1,0.0595630898132
additive,linear,0.4,0.3,1.5,3.75,2,0.0608186753205
additive,linear,0.4,0.3,2,5,0,0.0748823310905
additive,linear,0.4,0.3,2,5,1,0.0775930513251
additive,linear,0.4,0.3,2,5,2,0.0788727886364
additive,linear,0.4,0.3,2.5,6.25,0,0.0920958104156
additive,linear,0.4,0.3,2.5,6.25,1,0.0958664554841
additive,linear,0.4,0.3,2.5,6.25,2,0.0971959789126
additive,linear,0.4,0.3,3,7.5,0,0.109456594003
additive,linear,0.4,0.3,3,7.5,1,0.114266241907
additive,linear,0.4,0.3,3,7.5,2,0.115660895253
additive,linear,0.6,0.1,1,1.66666666667,0,0.0391070312162
additive,linear,0.6,0.1,1,1.66666666667,1,0.0343584031301
additive,linear,0.6,0.1,1,1.66666666667,2,0.0326158885883
additive,linear,0.6,0.1,1.5,2.5,0,0.0481001525304
additive,linear,0.6,0.1,1.5,2.5,1,0.0425555343797
additive,linear,0.6,0.1,1.5,2.5,2,0.0378900680757
additive,linear,0.6,0.1,2,3.33333333333,0,0.058131783473
additive,linear,0.6,0.1,2,3.33333333333,1,0.0519478838975
additive,linear,0.6,0.1,2,3.33333333333,2,0.0444246124447
additive,linear,0.6,0.1,2.5,4.16666666667,0,0.0687468028482
additive,linear,0.6,0.1,2.5,4.16666666667,1,0.0619883435461
additive,linear,0.6,0.1,2.5,4.16666666667,2,0.0517432422181
additive,linear,0.6,0.1,3,5,0,0.0797121821807
additive,linear,0.6,0.1,3,5,1,0.0724067838786
additive,linear,0.6,0.1,3,5,2,0.0595642151428
additive,linear,0.6,0.15,1,1.66666666667,0,0.0394367452141
additive,linear,0.6,0.15,1,1.66666666667,1,0.0354450355576
additive,linear,0.6,0.15,1,1.66666666667,2,0.036546547491
additive,linear,0.6,0.15,1.5,2.5,0,0.0489303970587
additive,linear,0.6,0.15,1.5,2.5,1,0.0449568674407
additive,linear,0.6,0.15,1.5,2.5,2,0.044651800755
additive,linear,0.6,0.15,2,3.33333333333,0,0.0595211582399
additive,linear,0.6,0.15,2,3.33333333333,1,0.0557584437601
additive,linear,0.6,0.15,2,3.33333333333,2,0.0539767674807
additive,linear,0.6,0.15,2.5,4.16666666667,0,0.070714184175
additive,linear,0.6,0.15,2.5,4.16666666667,1,0.06722283236
additive,linear,0.6,0.15,2.5,4.16666666667,2,0.0639892714394
additive,linear,0.6,0.15,3,5,0,0.0822630166468
additive,linear,0.6,0.15,3,5,1,0.0790597419569
additive,linear,0.6,0.15,3,5,2,0.07442118575
additive,linear,0.6,0.2,1,1.66666666667,0,0.0420500377933
additive,linear,0.6,0.2,1,1.66666666667,1,0.0404429180055
additive,linear,0.6,0.2,1,1.66666666667,2,0.0401854876288
additive,linear,0.6,0.2,1.5,2.5,0,0.0538501709096
additive,linear,0.6,0.2,1.5,2.5,1,0.0535085575522
additive,linear,0.6,0.2,1.5,2.5,2,0.0516757129387
additive,linear,0.6,0.2,2,3.33333333333,0,0.0668205613381
additive,linear,0.6,0.2,2,3.33333333333,1,0.0677884988681
additive,linear,0.6,0.2,2,3.33333333333,2,0.0644926866933
additive,linear,0.6,0.2,2.5,4.16666666667,0,0.0803936200238
additive,linear,0.6,0.2,2.5,4.16666666667,1,0.0826489951002
additive,linear,0.6,0.2,2.5,4.16666666667,2,0.0779758401161
additive,linear,0.6,0.2,3,5,0,0.094308554963
additive,linear,0.6,0.2,3,5,1,0.0978239615398
additive,linear,0.6,0.2,3,5,2,0.0918314934833
additive,linear,0.6,0.25,1,1.66666666667,0,0.0441004149982
additive,linear,0.6,0.25,1,1.66666666667,1,0.0434196587895
additive,linear,0.6,0.25,1,1.66666666667,2,0.0434121662095
additive,linear,0.6,0.25,1.5,2.5,0,0.0574044399298
additive,linear,0.6,0.25,1.5,2.5,1,0.058391299631
additive,linear,0.6,0.25,1.5,2.5,2,0.0567917089815
additive,linear,0.6,0.25,2,3.33333333333,0,0.0718956205691
additive,linear,0.6,0.25,2,3.33333333333,1,0.0745107404436
additive,linear,0.6,0.25,2,3.33333333333,2,0.0713465930869
additive,linear,0.6,0.25,2.5,4.16666666667,0,0.0869785951166
additive,linear,0.6,0.25,2.5,4.16666666667,1,0.091170586349
additive,linear,0.6,0.25,2.5,4.16666666667,2,0.0864783003949
additive,linear,0.6,0.25,3,5,0,0.102390140664
additive,linear,0.6,0.25,3,5,1,0.108121572524
additive,linear,0.6,0.25,3,5,2,0.101933368423
additive,linear,0.6,0.3,1,1.66666666667,0,0.0473860342013
additive,linear,0.6,0.3,1,1.66666666667,1,0.0468381694754
additive,linear,0.6,0.3,1,1.66666666667,2,0.0488486678631
additive,linear,0.6,0.3,1.5,2.5,0,0.0624542039935
additive,linear,0.6,0.3,1.5,2.5,1,0.0631385033027
additive,linear,0.6,0.3,1.5,2.5,2,0.0650554386704
additive,linear,0.6,0.3,2,3.33333333333,0,0.0786184163264
additive,linear,0.6,0.3,2,3.33333333333,1,0.0804749224975
additive,linear,0.6,0.3,2,3.33333333333,2,0.0823594141605
additive,linear,0.6,0.3,2.5,4.16666666667,0,0.0953217833214
additive,linear,0.6,0.3,2.5,4.16666666667,1,0.0983002724245
additive,linear,0.6,0.3,2.5,4.16666666667,2,0.100190004974
additive,linear,0.6,0.3,3,5,0,0.112323496636
additive,linear,0.6,0.3,3,5,1,0.116389576988
additive,linear,0.6,0.3,3,5,2,0.118309182955
