model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,stage,window_size,rmse
additive,linear,0.4,0.1,1,2.5,0,1,501,0.0302656754063
additive,linear,0.4,0.1,1,2.5,0,2,355,0.0227312925539
additive,linear,0.4,0.1,1,2.5,0,3,251,0.023209605314
additive,linear,0.4,0.1,1,2.5,0,4,177,0.0213590521541
additive,linear,0.4,0.1,1,2.5,0,5,125,0.026933861941
additive,linear,0.4,0.1,1,2.5,0,6,89,0.0318486613752
additive,linear,0.4,0.1,1,2.5,0,7,63,0.0354961925449
additive,linear,0.4,0.1,1,2.5,0,8,45,0.0429612881029
additive,linear,0.4,0.1,1,2.5,0,9,31,0.0537952857899
additive,robust,0.4,0.1,1,2.5,0,1,501,0.0198421276946
additive,robust,0.4,0.1,1,2.5,0,2,355,0.0153935001559
additive,robust,0.4,0.1,1,2.5,0,3,251,0.017303443989
additive,robust,0.4,0.1,1,2.5,0,4,177,0.0161858292838
additive,robust,0.4,0.1,1,2.5,0,5,125,0.021058276349
additive,robust,0.4,0.1,1,2.5,0,6,89,0.0267522180571
additive,robust,0.4,0.1,1,2.5,0,7,63,0.0292559382572
additive,robust,0.4,0.1,1,2.5,0,8,45,0.0329399795385
additive,robust,0.4,0.1,1,2.5,0,9,31,0.0400295771067
additive,linear,0.4,0.1,1,2.5,1,1,501,0.0227189732377
additive,linear,0.4,0.1,1,2.5,1,2,355,0.0173808543413
additive,linear,0.4,0.1,1,2.5,1,3,251,0.0186651051105
additive,linear,0.4,0.1,1,2.5,1,4,177,0.0227495729794
additive,linear,0.4,0.1,1,2.5,1,5,125,0.0283922820478
additive,linear,0.4,0.1,1,2.5,1,6,89,0.029172332612
additive,linear,0.4,0.1,1,2.5,1,7,63,0.0320813390936
additive,linear,0.4,0.1,1,2.5,1,8,45,0.0379584963849
additive,linear,0.4,0.1,1,2.5,1,9,31,0.0462142504711
additive,robust,0.4,0.1,1,2.5,1,1,501,0.0196153940781
additive,robust,0.4,0.1,1,2.5,1,2,355,0.0125245883041
additive,robust,0.4,0.1,1,2.5,1,3,251,0.0141124640877
additive,robust,0.4,0.1,1,2.5,1,4,177,0.0168215321185
additive,robust,0.4,0.1,1,2.5,1,5,125,0.020604979849
additive,robust,0.4,0.1,1,2.5,1,6,89,0.0226821456947
additive,robust,0.4,0.1,1,2.5,1,7,63,0.0260777234603
additive,robust,0.4,0.1,1,2.5,1,8,45,0.0312972688081
