model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,mean_rmse
masked,linear,0.4,0.1,1,2.5,0,0.0371301699846
masked,linear,0.4,0.1,1,2.5,1,0.0297659810512
masked,linear,0.4,0.1,1,2.5,2,0.0241798875895
masked,linear,0.4,0.1,1.5,3.75,0,0.0468937847927
masked,linear,0.4,0.1,1.5,3.75,1,0.038299451447
masked,linear,0.4,0.1,1.5,3.75,2,0.0308770561174
masked,linear,0.4,0.1,2,5,0,0.05743209236
masked,linear,0.4,0.1,2,5,1,0.0479836622951
masked,linear,0.4,0.1,2,5,2,0.0386095114392
masked,linear,0.4,0.1,2.5,6.25,0,0.0683919727917
masked,linear,0.4,0.1,2.5,6.25,1,0.0582567620602
masked,linear,0.4,0.1,2.5,6.25,2,0.0468715639502
masked,linear,0.4,0.1,3,7.5,0,0.0796029796414
masked,linear,0.4,0.1,3,7.5,1,0.0688586811165
masked,linear,0.4,0.1,3,7.5,2,0.0554284821816
masked,linear,0.4,0.15,1,2.5,0,0.0387062179684
masked,linear,0.4,0.15,1,2.5,1,0.0331989836877
masked,linear,0.4,0.15,1,2.5,2,0.0302660901465
masked,linear,0.4,0.15,1.5,3.75,0,0.0484856420352
masked,linear,0.4,0.15,1.5,3.75,1,0.0428968185422
masked,linear,0.4,0.15,1.5,3.75,2,0.039355519197
masked,linear,0.4,0.15,2,5,0,0.0592251664679
masked,linear,0.4,0.15,2,5,1,0.0537822869844
masked,linear,0.4,0.15,2,5,2,0.0494665750433
masked,linear,0.4,0.15,2.5,6.25,0,0.0705041059751
masked,linear,0.4,0.15,2.5,6.25,1,0.0652839362399
masked,linear,0.4,0.15,2.5,6.25,2,0.0600985888666
masked,linear,0.4,0.15,3,7.5,0,0.0821085367871
masked,linear,0.4,0.15,3,7.5,1,0.0771383008889
masked,linear,0.4,0.15,3,7.5,2,0.0710238056747
masked,linear,0.4,0.2,1,2.5,0,0.0438346720798
masked,linear,0.4,0.2,1,2.5,1,0.0427667218392
masked,linear,0.4,0.2,1,2.5,2,0.0364361656954
masked,linear,0.4,0.2,1.5,3.75,0,0.0557086455091
masked,linear,0.4,0.2,1.5,3.75,1,0.0561784218059
masked,linear,0.4,0.2,1.5,3.75,2,0.04854126836
masked,linear,0.4,0.2,2,5,0,0.068634084334
masked,linear,0.4,0.2,2,5,1,0.0705890009681
masked,linear,0.4,0.2,2,5,2,0.06176905489
masked,linear,0.4,0.2,2.5,6.25,0,0.0821322871469
masked,linear,0.4,0.2,2.5,6.25,1,0.0854980810403
masked,linear,0.4,0.2,2.5,6.25,2,0.0755408131716
masked,linear,0.4,0.2,3,7.5,0,0.0959720505147
masked,linear,0.4,0.2,3,7.5,1,0.10068754301
masked,linear,0.4,0.2,3,7.5,2,0.0896093474668
masked,linear,0.4,0.25,1,2.5,0,0.0482399841968
masked,linear,0.4,0.25,1,2.5,1,0.0475404244702
masked,linear,0.4,0.25,1,2.5,2,0.0422146377609
masked,linear,0.4,0.25,1.5,3.75,0,0.0612660002376
masked,linear,0.4,0.25,1.5,3.75,1,0.0628679434361
masked,linear,0.4,0.25,1.5,3.75,2,0.0559159388257
masked,linear,0.4,0.25,2,5,0,0.0753604017
masked,linear,0.4,0.25,2,5,1,0.0791264970031
masked,linear,0.4,0.25,2,5,2,0.0706278816343
masked,linear,0.4,0.25,2.5,6.25,0,0.0900697645796
masked,linear,0.4,0.25,2.5,6.25,1,0.0958404480417
masked,linear,0.4,0.25,2.5,6.25,2,0.0858551904707
masked,linear,0.4,0.25,3,7.5,0,0.105164705934
masked,linear,0.4,0.25,3,7.5,1,0.112809695429
masked,linear,0.4,0.25,3,7.5,2,0.101379408789
masked,linear,0.4,0.3,1,2.5,0,0.0533356836529
masked,linear,0.4,0.3,1,2.5,1,0.0514484796058
masked,linear,0.4,0.3,1,2.5,2,0.0479293048044
masked,linear,0.4,0.3,1.5,3.75,0,0.0679091942366
masked,linear,0.4,0.3,1.5,3.75,1,0.0679106653666
masked,linear,0.4,0.3,1.5,3.75,2,0.0637958483985
masked,linear,0.4,0.3,2,5,0,0.0835213422059
masked,linear,0.4,0.3,2,5,1,0.0852530406983
masked,linear,0.4,0.3,2,5,2,0.0808756102598
masked,linear,0.4,0.3,2.5,6.25,0,0.0997342369383
masked,linear,0.4,0.3,2.5,6.25,1,0.103024159691
masked,linear,0.4,0.3,2.5,6.25,2,0.0985578477533
masked,linear,0.4,0.3,3,7.5,0,0.11632725202
masked,linear,0.4,0.3,3,7.5,1,0.121038914856
masked,linear,0.4,0.3,3,7.5,2,0.11657499611
masked,linear,0.6,0.1,1,1.66666666667,0,0.0440339411524
masked,linear,0.6,0.1,1,1.66666666667,1,0.0358301430039
masked,linear,0.6,0.1,1,1.66666666667,2,0.0309527304434
masked,linear,0.6,0.1,1.5,2.5,0,0.0527790447922
masked,linear,0.6,0.1,1.5,2.5,1,0.0431028968671
masked,linear,0.6,0.1,1.5,2.5,2,0.036197394759
masked,linear,0.6,0.1,2,3.33333333333,0,0.0625478500323
masked,linear,0.6,0.1,2,3.33333333333,1,0.0518470737742
masked,linear,0.6,0.1,2,3.33333333333,2,0.042764081012
masked,linear,0.6,0.1,2.5,4.16666666667,0,0.0729291412405
masked,linear,0.6,0.1,2.5,4.16666666667,1,0.0614414564601
masked,linear,0.6,0.1,2.5,4.16666666667,2,0.0501461648364
masked,linear,0.6,0.1,3,5,0,0.0836970788439
masked,linear,0.6,0.1,3,5,1,0.071544913139
masked,linear,0.6,0.1,3,5,2,0.0580407101201
masked,linear,0.6,0.15,1,1.66666666667,0,0.0455216860166
masked,linear,0.6,0.15,1,1.66666666667,1,0.0385973260215
masked,linear,0.6,0.15,1,1.66666666667,2,0.0353623200666
masked,linear,0.6,0.15,1.5,2.5,0,0.0542725424765
masked,linear,0.6,0.15,1.5,2.5,1,0.0470070942077
masked,linear,0.6,0.15,1.5,2.5,2,0.0432453000418
masked,linear,0.6,0.15,2,3.33333333333,0,0.0642161382548
masked,linear,0.6,0.15,2,3.33333333333,1,0.0569730968235
masked,linear,0.6,0.15,2,3.33333333333,2,0.0524809188943
masked,linear,0.6,0.15,2.5,4.16666666667,0,0.0748902863326
