model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,stage,window_size,rmse
masked,linear,0.4,0.1,1,2.5,0,1,501,0.0540152067354
masked,linear,0.4,0.1,1,2.5,0,2,355,0.0268006148087
masked,linear,0.4,0.1,1,2.5,0,3,251,0.0257356572368
masked,linear,0.4,0.1,1,2.5,0,4,177,0.025091281425
masked,linear,0.4,0.1,1,2.5,0,5,125,0.0291615264504
masked,linear,0.4,0.1,1,2.5,0,6,89,0.0335175260094
masked,linear,0.4,0.1,1,2.5,0,7,63,0.0381193290838
masked,linear,0.4,0.1,1,2.5,0,8,45,0.0454402260936
masked,linear,0.4,0.1,1,2.5,0,9,31,0.056290162018
masked,robust,0.4,0.1,1,2.5,0,1,501,0.0328909144576
masked,robust,0.4,0.1,1,2.5,0,2,355,0.0177008047179
masked,robust,0.4,0.1,1,2.5,0,3,251,0.0181169039223
masked,robust,0.4,0.1,1,2.5,0,4,177,0.0170268134716
masked,robust,0.4,0.1,1,2.5,0,5,125,0.0206987034483
masked,robust,0.4,0.1,1,2.5,0,6,89,0.0259674178116
masked,robust,0.4,0.1,1,2.5,0,7,63,0.0291558109146
masked,robust,0.4,0.1,1,2.5,0,8,45,0.0330444521763
masked,robust,0.4,0.1,1,2.5,0,9,31,0.041209014652
masked,linear,0.4,0.1,1,2.5,1,1,501,0.0333032919139
masked,linear,0.4,0.1,1,2.5,1,2,355,0.0190994045273
masked,linear,0.4,0.1,1,2.5,1,3,251,0.0194181616146
masked,linear,0.4,0.1,1,2.5,1,4,177,0.0233440805122
masked,linear,0.4,0.1,1,2.5,1,5,125,0.0277135268752
masked,linear,0.4,0.1,1,2.5,1,6,89,0.0276308377666
masked,linear,0.4,0.1,1,2.5,1,7,63,0.031396364047
masked,linear,0.4,0.1,1,2.5,1,8,45,0.0387869696782
masked,linear,0.4,0.1,1,2.5,1,9,31,0.0472011925257
masked,robust,0.4,0.1,1,2.5,1,1,501,0.0281217839002
masked,robust,0.4,0.1,1,2.5,1,2,355,0.0143014499087
masked,robust,0.4,0.1,1,2.5,1,3,251,0.014317682216
masked,robust,0.4,0.1,1,2.5,1,4,177,0.0176580612131
masked,robust,0.4,0.1,1,2.5,1,5,125,0.0212107182591
masked,robust,0.4,0.1,1,2.5,1,6,89,0.0222479080811
masked,robust,0.4,0.1,1,2.5,1,7,63,0.0262475936435
masked,robust,0.4,0.1,1,2.5,1,8,45,0.0322465989433
masked,robust,0.4,0.1,1,2.5,1,9,31,0.0387327638769
masked,linear,0.4,0.1,1,2.5,2,1,501,0.0203640166075
masked,linear,0.4,0.1,1,2.5,2,2,355,0.0138457281201
masked,linear,0.4,0.1,1,2.5,2,3,251,0.0170445892225
masked,linear,0.4,0.1,1,2.5,2,4,177,0.0184786844567
masked,linear,0.4,0.1,1,2.5,2,5,125,0.0210283797154
masked,linear,0.4,0.1,1,2.5,2,6,89,0.0263544855834
