model,method,sigma,contamination_probability,contamination_scale,stage,window_size,rmse
additive,linear,0.6,0.2,2,1,501,0.0960571398878
additive,linear,0.6,0.2,2,2,355,0.0418515821701
additive,linear,0.6,0.2,2,3,251,0.0362521714743
additive,linear,0.6,0.2,2,4,177,0.0434583979292
additive,linear,0.6,0.2,2,5,125,0.0511150069316
additive,linear,0.6,0.2,2,6,89,0.0513131574415
additive,linear,0.6,0.2,2,7,63,0.0574122781216
additive,linear,0.6,0.2,2,8,45,0.0740510286365
additive,linear,0.6,0.2,2,9,31,0.0986708735519
additive,robust,0.6,0.2,2,1,501,0.0666530549817
additive,robust,0.6,0.2,2,2,355,0.0219394432999
additive,robust,0.6,0.2,2,3,251,0.0227822981567
additive,robust,0.6,0.2,2,4,177,0.0247561529468
additive,robust,0.6,0.2,2,5,125,0.0278535830235
additive,robust,0.6,0.2,2,6,89,0.0327895088887
additive,robust,0.6,0.2,2,7,63,0.0419577133448
additive,robust,0.6,0.2,2,8,45,0.0505433754578
additive,robust,0.6,0.2,2,9,31,0.0656680417762
masked,linear,0.6,0.2,2,1,501,0.123395882788
masked,linear,0.6,0.2,2,2,355,0.0478187819206
masked,linear,0.6,0.2,2,3,251,0.0388648039129
masked,linear,0.6,0.2,2,4,177,0.0445963403284
masked,linear,0.6,0.2,2,5,125,0.0518935448106
masked,linear,0.6,0.2,2,6,89,0.0514649274788
masked,linear,0.6,0.2,2,7,63,0.0572563078377
masked,linear,0.6,0.2,2,8,45,0.0744069315203
masked,linear,0.6,0.2,2,9,31,0.0987949471098
masked,robust,0.6,0.2,2,1,501,0.0903792705328
masked,robust,0.6,0.2,2,2,355,0.0276351293546
masked,robust,0.6,0.2,2,3,251,0.0259128944174
masked,robust,0.6,0.2,2,4,177,0.0270342849048
masked,robust,0.6,0.2,2,5,125,0.029712908883
masked,robust,0.6,0.2,2,6,89,0.0331236968315
masked,robust,0.6,0.2,2,7,63,0.0415857806179
masked,robust,0.6,0.2,2,8,45,0.0511241791528
masked,robust,0.6,0.2,2,9,31,0.0665172698916
