family,stage,window_size,exact_sqrt_expected_mean_square,mc_mean_rmse,mc_sd_rmse,mc_p05_rmse,mc_p50_rmse,mc_p95_rmse,observed_seed777_rmse,observed_rmse_percentile,mc_mean_scaled_rmse_a_k_over_2,mc_mean_sup,mc_p05_sup,mc_p50_sup,mc_p95_sup,observed_seed777_sup,observed_sup_percentile,mc_mean_scaled_sup_a_k_over_2
recursive,1,501,0.024000127996330736,0.02290575451866862,0.007061370039535677,0.01247497156399993,0.022208535361964314,0.035661365981724,0.024079832232637165,0.589,0.019261366863430017,0.044937052201394156,0.025037121007911042,0.04361002787355445,0.06875465158484477,0.04542433948993291,0.5516,0.037787406108221386
recursive,2,355,0.011707254569891273,0.011391774272537517,0.0026643678037163642,0.007389191006888047,0.011233686150974193,0.016027477152919058,0.010586087097483673,0.4058,0.008055200837857728,0.02596855082780072,0.016768286045876282,0.02536940593193497,0.03716410213638428,0.021842540454355894,0.2768,0.01836253838792542
recursive,3,251,0.011806545982536974,0.011595658436919063,0.0023805196709524514,0.008046423821889366,0.01141331129023157,0.015870102366935576,0.009926873348599173,0.2534,0.00689481975816274,0.028254711866956838,0.019201013756693773,0.027650026114218584,0.039415875456141315,0.02236942563100291,0.1686,0.016800352192268442
recursive,4,177,0.01332611296969692,0.013128643717174092,0.0022418333013187377,0.009714616877070219,0.01298921154650194,0.017131936668577707,0.010339217086393503,0.0958,0.006564321858587044,0.03391539574091254,0.024263380877764758,0.03340627960534176,0.045498201873559435,0.03216408024676844,0.4226,0.016957697870456267
recursive,5,125,0.015465100191404069,0.01524435579247122,0.002180873002321721,0.01187030710823121,0.015148083132973708,0.019033661827698056,0.013394006939448526,0.2018,0.006409462069370622,0.041539899560858705,0.030782541570518542,0.04088081558203981,0.05468704871828039,0.04260603276946527,0.6018,0.017465376315362716
recursive,6,89,0.017978296225908665,0.017792611270970003,0.002122532438003955,0.014454569607536513,0.01771245988924943,0.021433945687571874,0.01892882872933152,0.7126,0.0062906380423595415,0.050698051328767715,0.03889140970686601,0.050048095899660444,0.0650664510473452,0.054099015768596916,0.6888,0.01792446794375765
recursive,7,63,0.021409872400024996,0.021311107531260236,0.002133364353546937,0.01797013970158761,0.021230055387970757,0.02498258314061342,0.0249595097421255,0.9488,0.006335830176190685,0.06319979926982222,0.04977586810171155,0.062429838779804486,0.07906059537244432,0.0703301534561742,0.8004,0.018789412739604085
recursive,8,45,0.02521359073353221,0.025149500966143726,0.002129478599693945,0.021707866983294147,0.025081856182694248,0.028765445318568783,0.026528910007645724,0.7488,0.00628737524153593,0.07740817176834704,0.06254676006037414,0.07643997345211379,0.09606048378657038,0.08846262908328521,0.861,0.019352042942086756
recursive,9,31,0.031967588801257656,0.03190246459640644,0.0022316919023554044,0.028284926104619124,0.03182623456650489,0.03568211341640047,0.033172993469566696,0.7204,0.006706667029219176,0.1017164492206275,0.08343367893598323,0.10058924953075325,0.12438951493756586,0.11182496880126125,0.8118,0.02138324938049053
single_pass,1,501,0.024000127996330736,0.02290575451866862,0.007061370039535677,0.01247497156399993,0.022208535361964314,0.035661365981724,0.02407983223263717,0.589,0.019261366863430017,0.044937052201394156,0.025037121007911042,0.04361002787355445,0.06875465158484477,0.04542433948993288,0.5516,0.037787406108221386
single_pass,2,355,0.02852326477286577,0.027568087534099846,0.0071546946367339204,0.016650392058780536,0.027052329487809633,0.04031850690854473,0.02802814433718771,0.556,0.019493581639706326,0.0579775207672164,0.035175067429497116,0.056568163358792604,0.08508675453330856,0.05691961768035095,0.5098,0.0409962980908826
single_pass,3,251,0.033941849491276536,0.03313392920756091,0.007224121548702653,0.02203806194159285,0.03269077883114643,0.04580238766890779,0.03245415536537532,0.4892,0.01970155218081395,0.0742262408344596,0.047807193082582196,0.07276122673971207,0.10532736774233871,0.06786536375339253,0.3814,0.04413518686012243
single_pass,4,177,0.040453732563653165,0.039774688849990435,0.007290565472348653,0.028458330712219544,0.03941314798094621,0.05231893958644687,0.03720815072542948,0.3838,0.019887344424995214,0.09451400061170437,0.06493019455008386,0.09301898192703391,0.130161928172036,0.08146642288884597,0.2726,0.04725700030585217
single_pass,5,125,0.048197336867657176,0.04759934664715342,0.007337842365810135,0.0361427476876186,0.047243147957828635,0.060092101495152955,0.042870814331423694,0.2682,0.020013059982005112,0.11941599757748704,0.08549965600948078,0.11720697901697447,0.16050336671289345,0.10119670093354703,0.2226,0.05020824214342755
single_pass,6,89,0.057217596064559374,0.05666229534705524,0.00735717842948707,0.045044639454840864,0.05651689766147453,0.06901077169640756,0.05127696741415614,0.2394,0.020033146638748854,0.14933846814161744,0.11025466625875084,0.14735194977503385,0.19646808108904854,0.13473826031877625,0.3126,0.05279912175747443
single_pass,7,63,0.06817901653631067,0.06767654567493198,0.007348881238330031,0.05598682654475663,0.0675713277021745,0.08000760266117994,0.06434068998560505,0.3308,0.02012035740885893,0.1868146979468204,0.14265013126334636,0.18393994237067285,0.24077642644734,0.17795897012373213,0.416,0.05554034199636075
single_pass,8,45,0.08095949670046973,0.08052715789084455,0.007352599515297963,0.0687935264276533,0.08047948528290548,0.0930166947425555,0.07965342325073992,0.4558,0.020131789472711135,0.23189562097447933,0.1820791299268784,0.22844146471232266,0.29341441605974317,0.21858056187307426,0.381,0.05797390524361982
single_pass,9,31,0.09812359442304695,0.09776924314552825,0.007390473952371378,0.08581042388416737,0.09774514975517423,0.11020253138278341,0.09907136221427261,0.5724,0.02055345152078587,0.29396102865538204,0.23584043110848968,0.29097383384769093,0.36567226251784246,0.32139842071477526,0.7758,0.06179769380515128
