boundary,stage,window_size,mc_reps,mean_recursive_rmse,p05_recursive_rmse,p50_recursive_rmse,p95_recursive_rmse,mean_scaled_recursive_rmse_a_k_over_2
wrap,1,501,400,0.022841608001930608,0.012530250730699462,0.02215611402842563,0.034366552207106674,0.01920742628745401
wrap,2,355,400,0.011263318607974786,0.0073624147618271026,0.011013015184253957,0.015679578292769843,0.007964368966363596
wrap,3,251,400,0.01131943938252801,0.007658048361415326,0.011344972685192665,0.014717420002107955,0.006730578925772158
wrap,4,177,400,0.012926410990068866,0.009138720471963657,0.012768567286722514,0.016835646406352385,0.0064632054950344315
wrap,5,125,400,0.015293335062173315,0.011636011153787313,0.015302073386214015,0.019287837954030718,0.006430055315527741
wrap,6,89,400,0.017970667539335232,0.014497966898385605,0.017916301551459762,0.021765633330882418,0.006353590439756454
wrap,7,63,400,0.021444752663652877,0.018140478297145254,0.0213571387439887,0.02525188156629407,0.006375563111772387
wrap,8,45,400,0.02515236793928015,0.021866344310743996,0.025003215196597466,0.028723102057818757,0.006288091984820035
wrap,9,31,400,0.0318376397963103,0.028334510873148123,0.03186527696226435,0.03581626170395102,0.006693039293714082
reflect,1,501,400,0.024527135256729195,0.014080875859525756,0.023697242143198318,0.038266870737221216,0.020624780113826575
reflect,2,355,400,0.011289524179502774,0.007281663550134096,0.010989332788756523,0.015820623921247813,0.007982899103695906
reflect,3,251,400,0.01133316765741932,0.007825771721038731,0.011237387459431137,0.01517548288688146,0.0067387418068608875
reflect,4,177,400,0.01294508599186599,0.009167464204319353,0.012808967310452507,0.01666500647344295,0.006472542995932994
reflect,5,125,400,0.015302598448081666,0.01181711293266563,0.015310012814337005,0.0192360441333227,0.006433950089529464
reflect,6,89,400,0.017966788727711513,0.014678236415006832,0.017953873559557673,0.021658585091010686,0.0063522190727554155
reflect,7,63,400,0.021437397859088284,0.018097147126867073,0.021333292253184366,0.025295823950655143,0.006373376515292971
reflect,8,45,400,0.025118126600824322,0.021675682756916205,0.02498624339134648,0.028747566672034493,0.006279531650206079
reflect,9,31,400,0.03182461278060797,0.028322534857120912,0.03171104672888084,0.03597288088925316,0.0066903007010126955
