case,stage,window_size,mc_reps,mean_recursive_rmse,sd_recursive_rmse,p05_recursive_rmse,p50_recursive_rmse,p95_recursive_rmse,mean_scaled_recursive_rmse_a_k_over_2
robust_gaussian_only,1,501,120,0.022365664220842654,0.0068566947250881215,0.0130197748528407,0.021629058967124637,0.03380753805707143,0.01880720686807485
robust_gaussian_only,2,355,120,0.011204838967348434,0.002732351397051678,0.007282916469602843,0.0107679665558878,0.01584204496173837,0.00792301761591535
robust_gaussian_only,3,251,120,0.011427249688322007,0.0023806287321005743,0.007652542138794525,0.011117543595527527,0.015660725428358026,0.006794683317132578
robust_gaussian_only,4,177,120,0.013015850218970459,0.0021092127115520895,0.01002433897030898,0.012731698320618656,0.016721561379789005,0.006507925109485228
robust_gaussian_only,5,125,120,0.015240837275450551,0.0022648322143003566,0.012183734974861738,0.0150189736636799,0.0191689047801788,0.006407982715195778
robust_gaussian_only,6,89,120,0.017661907789552907,0.0021989754648833243,0.014321161923314693,0.017483388203844066,0.021170383603329054,0.006244427383342182
robust_gaussian_only,7,63,120,0.021055143539880864,0.0019113503257402798,0.0182026984211412,0.02103467711739969,0.023987665045923263,0.006259731626257474
robust_gaussian_only,8,45,120,0.024852406056802463,0.001987440631859931,0.02169542123513775,0.02495993270982879,0.028381946751034438,0.006213101514200614
robust_gaussian_only,9,31,120,0.03171360438930521,0.002142022068894288,0.028315991726109394,0.03188554994154505,0.0353613832780225,0.006666964061435303
robust_gaussian_plus_contamination,1,501,120,0.027485396565762692,0.008476083672510952,0.015067263579771978,0.02692439813452137,0.042969478666968465,0.023112371443976605
robust_gaussian_plus_contamination,2,355,120,0.013781057409664526,0.003224062867073007,0.00925936578269271,0.013517397682020784,0.01932919960441101,0.009744679146294902
robust_gaussian_plus_contamination,3,251,120,0.01395414476000475,0.0028187187307192334,0.00999619874810229,0.013812750967385368,0.01956785837569889,0.008297184116187793
robust_gaussian_plus_contamination,4,177,120,0.01582222864880017,0.002627268603832868,0.011842438269754603,0.015622412360811674,0.020380849646313485,0.007911114324400084
robust_gaussian_plus_contamination,5,125,120,0.01873788374122249,0.0026164821706635938,0.014818697396437914,0.018516063443717402,0.02271704533231597,0.007878309633717426
robust_gaussian_plus_contamination,6,89,120,0.02196439121346715,0.0026904471633444733,0.01781553116578465,0.021750629292893012,0.026510273135636947,0.0077655849858384194
robust_gaussian_plus_contamination,7,63,120,0.026411248957327396,0.002595025395862285,0.0223562165739221,0.02636004754530097,0.030659207188282696,0.007852111294040483
robust_gaussian_plus_contamination,8,45,120,0.03126193684548103,0.00258235832624863,0.026888286516234053,0.031444828406306975,0.03507481239562181,0.007815484211370256
robust_gaussian_plus_contamination,9,31,120,0.039849597588445966,0.0029958871772432067,0.03482177424579851,0.04007654979071078,0.04478939509972053,0.008377345940356818
