case,method,stage,window_size,recursive_rmse,recursive_scaled_rmse_a_k_over_2,recursive_sup_error,recursive_scaled_sup_error_a_k_over_2
linear_gaussian_only_notebook,linear,1,501,0.024079832232637165,0.020248644604335442,0.04542433948993291,0.038197164242352324
linear_gaussian_only_notebook,linear,2,355,0.010586087097483673,0.007485493972862121,0.021842540454355894,0.015445008473616545
linear_gaussian_only_notebook,linear,3,251,0.009926873348599173,0.005902554207942511,0.02236942563100291,0.013300940059456447
linear_gaussian_only_notebook,linear,4,177,0.010339217086393503,0.005169608543196751,0.03216408024676844,0.016082040123384215
linear_gaussian_only_notebook,linear,5,125,0.013394006939448526,0.00563148621063282,0.04260603276946527,0.017913630112012816
linear_gaussian_only_notebook,linear,6,89,0.01892882872933152,0.006692351577214527,0.054099015768596916,0.019126890452746417
linear_gaussian_only_notebook,linear,7,63,0.0249595097421255,0.007420506643078843,0.0703301534561742,0.02090927972232889
linear_gaussian_only_notebook,linear,8,45,0.026528910007645724,0.006632227501911429,0.08846262908328521,0.0221156572708213
linear_gaussian_only_notebook,linear,9,31,0.033172993469566696,0.006973762822948377,0.11182496880126125,0.023508303850209755
robust_gaussian_only_control,robust,1,501,0.025286147712426193,0.0212630309669551,0.05060155148764248,0.042550663252234826
robust_gaussian_only_control,robust,2,355,0.010270354148201696,0.007262237063380807,0.020728321430766146,0.01465713664630918
robust_gaussian_only_control,robust,3,251,0.009879891981889327,0.0058746189201605604,0.024368782311790235,0.014489764654566702
robust_gaussian_only_control,robust,4,177,0.010325614789677128,0.005162807394838563,0.0338561899106528,0.016928094955326396
robust_gaussian_only_control,robust,5,125,0.013690600450868996,0.005756188420903312,0.04469983862505805,0.01879396703111542
robust_gaussian_only_control,robust,6,89,0.01932047189006118,0.0068308183445931646,0.05669256378101887,0.020043848146204645
robust_gaussian_only_control,robust,7,63,0.02527450281123949,0.007514154642820568,0.07275647286731123,0.02163062879907723
robust_gaussian_only_control,robust,8,45,0.02671336662283043,0.006678341655707605,0.09004305855693497,0.022510764639233738
robust_gaussian_only_control,robust,9,31,0.03333883746899153,0.007008627229100298,0.11424515173522207,0.024017084638566222
linear_gaussian_plus_contamination_control,linear,1,501,0.0397231599334969,0.033403062790627526,0.07121096997290421,0.05988104937695506
linear_gaussian_plus_contamination_control,linear,2,355,0.015273611918353379,0.010800074560679346,0.03984965208537979,0.028177959217496693
linear_gaussian_plus_contamination_control,linear,3,251,0.013981441274106058,0.008313414720579816,0.03556188144704557,0.021145221219854925
linear_gaussian_plus_contamination_control,linear,4,177,0.01605707214453177,0.008028536072265884,0.05820731466582893,0.029103657332914458
linear_gaussian_plus_contamination_control,linear,5,125,0.019042430407717983,0.00800635573378419,0.0748876515066994,0.031486378849376474
linear_gaussian_plus_contamination_control,linear,6,89,0.020773435761110164,0.007344518647612062,0.07956464556548364,0.028130350211028818
linear_gaussian_plus_contamination_control,linear,7,63,0.025392581561477306,0.007549259665298928,0.08583180454225095,0.02551794816379192
linear_gaussian_plus_contamination_control,linear,8,45,0.03198752279597839,0.007996880698994596,0.13018638294148793,0.032546595735371976
linear_gaussian_plus_contamination_control,linear,9,31,0.04302414914565096,0.009044713196479762,0.20971169481596533,0.04408645310188154
robust_gaussian_plus_contamination_notebook,robust,1,501,0.03456662459634053,0.02906695071048363,0.0644295336785854,0.05417856390679093
robust_gaussian_plus_contamination_notebook,robust,2,355,0.011223601899319854,0.007936285012347282,0.024117196380758033,0.017053433104041664
robust_gaussian_plus_contamination_notebook,robust,3,251,0.012277682243442998,0.007300353539822491,0.032624584556563876,0.019398694039336827
robust_gaussian_plus_contamination_notebook,robust,4,177,0.01346664046384963,0.006733320231924814,0.052642189357396736,0.02632109467869836
robust_gaussian_plus_contamination_notebook,robust,5,125,0.015742425406866246,0.006618874546016411,0.06722388982676339,0.028264163987367988
robust_gaussian_plus_contamination_notebook,robust,6,89,0.019772111295455325,0.0069904969876957955,0.0776475124537559,0.02745254129915884
robust_gaussian_plus_contamination_notebook,robust,7,63,0.025637415747796342,0.007622049304390552,0.08701253274924002,0.025868980759950873
robust_gaussian_plus_contamination_notebook,robust,8,45,0.029976870008602646,0.00749421750215066,0.13005854901938962,0.0325146372548474
robust_gaussian_plus_contamination_notebook,robust,9,31,0.038812637476133734,0.008159351930055707,0.19124543940054553,0.04020440110638505
linear_contamination_only_control,linear,1,501,0.021903482894436554,0.018418560247502755,0.04779622468530342,0.04019167400053275
linear_contamination_only_control,linear,2,355,0.012090465150572511,0.008549249895669454,0.026728405682442884,0.01889983690836041
linear_contamination_only_control,linear,3,251,0.009972947574907534,0.005929950106814586,0.026151606529826225,0.015549838277010482
linear_contamination_only_control,linear,4,177,0.012091410240453777,0.006045705120226887,0.03332418525922194,0.016662092629610967
linear_contamination_only_control,linear,5,125,0.014545973564716765,0.0061158285134728105,0.0410661240668308,0.017266178258081154
linear_contamination_only_control,linear,6,89,0.015460328367372784,0.005466051513970019,0.046690660981108675,0.01650764149891204
linear_contamination_only_control,linear,7,63,0.017092777352106493,0.005081713110570602,0.06101104758698292,0.018138692971052417
linear_contamination_only_control,linear,8,45,0.01941253194548602,0.004853132986371504,0.09186145806917026,0.02296536451729256
linear_contamination_only_control,linear,9,31,0.023954905995903903,0.005035898644923825,0.15893342132967608,0.03341163606503321
robust_contamination_only_control,robust,1,501,0.013480082158850104,0.011335352764702607,0.03332407763892131,0.0280220974282054
robust_contamination_only_control,robust,2,355,0.008481234815418043,0.005997138650817534,0.020517446288444693,0.014508025403190003
robust_contamination_only_control,robust,3,251,0.006961231346513226,0.00413917292322675,0.018449096753470534,0.01096989856230038
robust_contamination_only_control,robust,4,177,0.008135015361888919,0.0040675076809444585,0.017940914531982537,0.008970457265991267
robust_contamination_only_control,robust,5,125,0.009221950768461244,0.0038773526714226485,0.025015233985834495,0.010517610292710557
robust_contamination_only_control,robust,6,89,0.009810537305836128,0.0034685487280201634,0.030600003653404012,0.01081873504382755
robust_contamination_only_control,robust,7,63,0.011040318156496141,0.0032823062258997334,0.03857944402903567,0.011469737333044612
robust_contamination_only_control,robust,8,45,0.013517685133658542,0.0033794212834146347,0.05638095849276983,0.014095239623192453
robust_contamination_only_control,robust,9,31,0.016986939512076433,0.003571064135459188,0.08271081036401576,0.017387805984457654
